City,Country,Venue,CityNight,NumOpeningActs,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Newark,United States,Prudential Center,1,2,38065,38065,1,3565317,The Red Tour
Newark,United States,Prudential Center,2,2,38065,38065,1,3565317,The Red Tour
Newark,United States,Prudential Center,3,2,38065,38065,1,3565317,The Red Tour
Miami,United States,American Airlines Arena,1,2,12808,12808,1,1010175,The Red Tour
Orlando,United States,Amway Center,1,2,25617,25617,1,2054128,The Red Tour
Orlando,United States,Amway Center,2,2,25617,25617,1,2054128,The Red Tour
Atlanta,United States,Philips Arena,1,2,25471,25471,1,2048023,The Red Tour
Atlanta,United States,Philips Arena,2,2,25471,25471,1,2048023,The Red Tour
Tampa,United States,Tampa Bay Times Forum,1,2,14080,14080,1,1132095,The Red Tour
Cleveland,United States,Quicken Loans Arena,1,2,15336,15336,1,1247605,The Red Tour
Indianapolis,United States,Bankers Life Fieldhouse,1,2,13573,13573,1,1082042,The Red Tour
Lexington,United States,Rupp Arena,1,2,17003,17003,1,1342699,The Red Tour
Detroit,United States,Ford Field,1,3,48265,48265,1,3969059,The Red Tour
Louisville,United States,KFC Yum! Center,1,2,15135,15135,1,1246491,The Red Tour
Columbus,United States,Nationwide Arena,1,2,14267,14267,1,1155170,The Red Tour
Washington,United States,Verizon Center,1,2,27619,27619,1,2489205,The Red Tour
Washington,United States,Verizon Center,2,2,27619,27619,1,2489205,The Red Tour
Houston,United States,Toyota Center,1,2,12467,12467,1,961422,The Red Tour
Austin,United States,Frank Erwin Center,1,2,11916,11916,1,935631,The Red Tour
San Antonio,United States,AT&T Center,1,2,13974,13974,1,1105253,The Red Tour
Arlington,United States,Cowboys Stadium,1,3,53020,53020,1,4589266,The Red Tour
Glendale,United States,Jobing.com Arena,1,2,26705,26705,1,2239370,The Red Tour
Glendale,United States,Jobing.com Arena,2,2,26705,26705,1,2239370,The Red Tour
Salt Lake City,United States,EnergySolutions Arena,1,2,14007,14007,1,1139360,The Red Tour
Denver,United States,Pepsi Center,1,2,13489,13489,1,1076069,The Red Tour
Toronto,Canada,Rogers Centre,1,3,87627,87627,1,7863310,The Red Tour
Toronto,Canada,Rogers Centre,2,3,87627,87627,1,7863310,The Red Tour
Winnipeg,Canada,Investors Group Field,1,3,33061,33061,1,3175430,The Red Tour
Edmonton,Canada,Rexall Place,1,2,25663,25663,1,2379870,The Red Tour
Edmonton,Canada,Rexall Place,2,2,25663,25663,1,2379870,The Red Tour
Vancouver,Canada,BC Place Stadium,1,3,41142,41142,1,3974410,The Red Tour
Pittsburgh,United States,Heinz Field,1,3,56047,56047,1,4718518,The Red Tour
East Rutherford,United States,MetLife Stadium,1,3,52399,52399,1,4670011,The Red Tour
Philadelphia,United States,Lincoln Financial Field,1,3,101277,101277,1,8822335,The Red Tour
Philadelphia,United States,Lincoln Financial Field,2,3,101277,101277,1,8822335,The Red Tour
Foxborough,United States,Gillette Stadium,1,3,110712,110712,1,9464063,The Red Tour
Foxborough,United States,Gillette Stadium,2,3,110712,110712,1,9464063,The Red Tour
Des Moines,United States,Wells Fargo Arena,1,2,13368,13368,1,1075576,The Red Tour
Kansas City,United States,Sprint Center,1,2,26412,26412,1,2093172,The Red Tour
Kansas City,United States,Sprint Center,2,2,26412,26412,1,2093172,The Red Tour
Wichita,United States,Intrust Bank Arena,1,2,12231,12231,1,983882,The Red Tour
Tulsa,United States,BOK Center,1,2,10949,10949,1,868955,The Red Tour
Chicago,United States,Soldier Field,1,3,50809,50809,1,4149148,The Red Tour
San Diego,United States,Valley View Casino Center,1,2,10872,10872,1,948541,The Red Tour
Los Angeles,United States,Staples Center,1,2,55829,55829,1,4734463,The Red Tour
Los Angeles,United States,Staples Center,2,2,55829,55829,1,4734463,The Red Tour
Los Angeles,United States,Staples Center,3,2,55829,55829,1,4734463,The Red Tour
Los Angeles,United States,Staples Center,4,2,55829,55829,1,4734463,The Red Tour
